cand_provenance_gender,cand_age_bucket,cand_domicile_province,cand_education,job_contract_type,job_sector,job_work_province,hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Male,25-34,LC,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Female,55-74,BG,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Male,35-44,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,25-34,BG,Other,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Female,25-34,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,25-34,CO,Other,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Female,25-34,BG,Undergraduate,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,55-74,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Female,35-44,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Female,35-44,CO,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
North Male,45-54,MI,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,55-74,CO,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Female,35-44,CO,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Female,35-44,MB,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Female,35-44,MI,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Female,25-34,CO,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,15-24,LO,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,35-44,VA,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,45-54,VA,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,25-34,BG,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
